| Series   |   Mass | EOS   |   trise |    kpush |    xi175 |    xi200 |    xi225 |   Outcome |   M_rem |   M_Fe |    M_CO |    M_He |     M_H |     E_exp |   t_bounce |    t_exp |    t_end |
|----------|--------|-------|---------|----------|----------|----------|----------|-----------|---------|--------|---------|---------|---------|-----------|------------|----------|----------|
| u        |   26.2 | BHBlp |     0.4 | 2.59639  | 1.0823   | 0.543764 | 0.348681 |         0 | 1.9395  | 1.6114 |  7.1566 |  8.8838 | 17.3063 | 0.481067  |   0.412957 | 0.468739 | 2.89083  |
| w        |   16   | BHBlp |     0.4 | 4.2378   | 0.326931 | 0.216288 | 0.174234 |         0 | 1.51793 | 1.3761 |  3.4355 |  4.6503 |  8.9443 | 1.20676   |   0.291547 | 0.348631 | 7        |
| s        |   36   | NL3   |     0.4 | 4.23264  | 0.602873 | 0.336651 | 0.234686 |         0 | 1.69656 | 1.4857 |  8.8171 |  0      |  0      | 1.3102    |   0.375942 | 0.350843 | 7        |
| u        |   27.2 | BHBlp |     0.4 | 3.03526  | 0.993619 | 0.507166 | 0.356623 |         4 | 1.89006 | 1.5728 |  7.741  |  9.4384 | 17.7504 | 0.649846  |   0.410887 | 0.45071  | 2.1581   |
| u        |   28.2 | BHBlp |     0.4 | 3.64769  | 0.94124  | 0.443235 | 0.333996 |         0 | 1.8266  | 1.5607 |  7.8233 |  9.5828 | 18.6055 | 0.829565  |   0.394523 | 0.394323 | 2.16122  |
| u        |   24.2 | BHBlp |     0.4 | 4.12776  | 0.91761  | 0.365584 | 0.251072 |         0 | 1.82756 | 1.5452 |  6.6507 |  8.3688 | 15.8228 | 0.824987  |   0.399827 | 0.36913  | 1.587    |
| u        |   27.2 | NL3   |     0.4 | 3.08629  | 1.00297  | 0.502528 | 0.351751 |         0 | 1.87271 | 1.5728 |  7.741  |  9.4384 | 17.7504 | 0.851305  |   0.410991 | 0.406297 | 2.01749  |
| s        |   25   | SFHo  |     0.4 | 1.64318  | 1.14533  | 0.60972  | 0.396313 |         0 | 1.9793  | 1.6202 |  7.1307 |  8.364  |  4.1669 | 0.48799   |   0.419213 | 0.459675 | 5.31337  |
| s        |   26   | SFHo  |     0.4 | 2.01665  | 1.09824  | 0.585555 | 0.381777 |         0 | 1.94047 | 1.6098 |  6.8687 |  8.6701 |  4.2719 | 0.684632  |   0.40436  | 0.433498 | 6.01933  |
| s        |   27   | SFHo  |     0.4 | 4.28424  | 0.54332  | 0.315321 | 0.25406  |         0 | 1.66385 | 1.5074 |  7.196  |  9.0949 |  3.3552 | 1.08489   |   0.37525  | 0.315071 | 6.50304  |
| s        |   28   | SFHo  |     0.4 | 4.2927   | 0.499497 | 0.310604 | 0.251712 |         0 | 1.65622 | 1.505  |  8.2251 |  9.4108 |  3.2596 | 1.03801   |   0.374116 | 0.303867 | 5.01089  |
| s        |   29   | SFHo  |     0.4 | 4.32172  | 0.435834 | 0.279752 | 0.215682 |         0 | 1.59148 | 1.5342 |  7.5799 |  9.5306 |  3.0839 | 1.2039    |   0.350123 | 0.346739 | 7        |
| s        |   30   | SFHo  |     0.4 | 4.05664  | 0.588191 | 0.380769 | 0.264081 |         0 | 1.67579 | 1.4619 |  9.1209 | 10.0138 |  2.2297 | 1.49893   |   0.351535 | 0.390432 | 7        |
| s        |   31   | SFHo  |     0.4 | 4.31895  | 0.390906 | 0.264047 | 0.19688  |         0 | 1.57206 | 1.4489 |  8.4941 | 10.5605 |  1.152  | 0.974291  |   0.364385 | 0.31772  | 7        |
| s        |   32   | SFHo  |     0.4 | 4.25986  | 0.550473 | 0.326523 | 0.232252 |         0 | 1.66738 | 1.4809 |  8.3492 | 10.4413 |  1.5534 | 1.19745   |   0.370959 | 0.330207 | 7        |
| s        |   33   | SFHo  |     0.4 | 4.1234   | 0.679004 | 0.366588 | 0.27466  |         0 | 1.72597 | 1.5122 |  8.9325 | 11.3198 |  0.1198 | 1.13647   |   0.38935  | 0.33396  | 7        |
| u        |   11   | SFHo  |     0.4 | 3.35947  | 0.209231 | 0.075272 | 0.029756 |         0 | 1.49177 | 1.2843 |  2.039  |  3.0446 |  7.9553 | 0.873707  |   0.225125 | 0.451999 | 6.9781   |
| u        |   12   | SFHo  |     0.4 | 4.03695  | 0.311812 | 0.166553 | 0.080637 |         0 | 1.55066 | 1.3651 |  2.3002 |  3.3903 |  8.6093 | 1.25967   |   0.286965 | 0.397229 | 6.73708  |
| u        |   13   | SFHo  |     0.4 | 4.24951  | 0.502985 | 0.220555 | 0.136534 |         0 | 1.6593  | 1.491  |  2.527  |  3.6938 |  9.3056 | 1.52393   |   0.341912 | 0.368957 | 6.50016  |
| u        |   14   | SFHo  |     0.4 | 4.31845  | 0.517063 | 0.263171 | 0.178956 |         0 | 1.63804 | 1.4766 |  2.7828 |  4.0197 |  9.9795 | 1.76948   |   0.324096 | 0.385654 | 6.43955  |
| u        |   15   | SFHo  |     0.4 | 4.31983  | 0.514712 | 0.265755 | 0.189452 |         0 | 1.66164 | 1.4401 |  3.0045 |  4.3284 | 10.6704 | 1.55726   |   0.335131 | 0.370987 | 7        |
| u        |   16   | SFHo  |     0.4 | 3.9066   | 0.699768 | 0.407177 | 0.290083 |         0 | 1.74257 | 1.3997 |  3.2607 |  4.655  | 11.3434 | 1.88158   |   0.338824 | 0.373623 | 7        |
| s        |   39   | SFHx  |     0.4 | 0.846669 | 1.21005  | 0.656166 | 0.432604 |         0 | 2.12237 | 1.6358 |  6.9108 |  0      |  0      | 0.229804  |   0.414642 | 0.804859 | 7        |
| s        |   13   | SFHx  |     0.4 | 3.87152  | 0.232738 | 0.138533 | 0.077111 |         0 | 1.48536 | 1.3421 |  2.3187 |  3.4338 |  7.9259 | 0.974028  |   0.278866 | 0.365364 | 7        |
| s        |   14   | SFHx  |     0.4 | 4.25581  | 0.480641 | 0.222996 | 0.14688  |         0 | 1.65308 | 1.4367 |  2.6208 |  3.7828 |  8.1835 | 1.37072   |   0.333517 | 0.375271 | 7        |
| s        |   15   | SFHx  |     0.4 | 4.32051  | 0.574078 | 0.283831 | 0.192891 |         0 | 1.69422 | 1.5542 |  2.9373 |  4.127  |  8.5151 | 1.59999   |   0.339392 | 0.37794  | 7        |
| s        |   27   | SFHx  |     0.4 | 4.28339  | 0.507474 | 0.315766 | 0.254313 |         0 | 1.667   | 1.5074 |  7.196  |  9.0949 |  3.3552 | 0.967212  |   0.375239 | 0.324806 | 6.69684  |
| s        |   26   | SFHx  |     0.4 | 2.03423  | 1.09573  | 0.584371 | 0.403539 |         0 | 1.95537 | 1.6098 |  6.8687 |  8.6701 |  4.2719 | 0.585389  |   0.404353 | 0.472933 | 6.14169  |
| s        |   28   | SFHx  |     0.4 | 4.29204  | 0.500395 | 0.310999 | 0.251933 |         0 | 1.65856 | 1.505  |  8.2251 |  9.4108 |  3.2596 | 0.936245  |   0.374104 | 0.312257 | 6.60528  |
| s        |   30   | SFHx  |     0.4 | 4.05429  | 0.589479 | 0.381233 | 0.264458 |         0 | 1.68648 | 1.4619 |  9.1209 | 10.0138 |  2.2297 | 1.32168   |   0.351522 | 0.409033 | 7        |
| u        |   25.2 | BHBlp |     0.4 | 3.37502  | 1.00889  | 0.474256 | 0.301371 |         4 | 1.89473 | 1.6127 |  6.9356 |  8.6665 | 16.5243 | 0.636289  |   0.417423 | 0.405353 | 1.74515  |
| u        |   17   | SFHx  |     0.4 | 4.09113  | 0.278123 | 0.177453 | 0.141013 |         0 | 1.51402 | 1.5262 |  3.5298 |  4.9962 | 12.0018 | 1.03824   |   0.344672 | 0.283275 | 3.75717  |
| u        |   13   | SFHx  |     0.4 | 4.25028  | 0.503878 | 0.22085  | 0.136624 |         0 | 1.66584 | 1.491  |  2.527  |  3.6938 |  9.3056 | 1.39208   |   0.341897 | 0.383786 | 6.76135  |
| s        |   17   | SFHx  |     0.4 | 4.27154  | 0.348493 | 0.229652 | 0.184207 |         0 | 1.53866 | 1.4037 |  3.6263 |  4.8643 |  8.9739 | 1.20108   |   0.301394 | 0.346655 | 7        |
| u        |   30   | SFHx  |     0.4 | 1.98487  | 1.141    | 0.587684 | 0.411145 |         0 | 1.9661  | 1.5842 |  8.8809 | 10.605  | 19.3804 | 0.614312  |   0.410033 | 0.477966 | 7        |
| u        |   27   | SFHx  |     0.4 | 3.27132  | 1.0235   | 0.48485  | 0.328071 |         0 | 1.88188 | 1.6046 |  7.3558 |  9.0703 | 17.9194 | 0.681397  |   0.414024 | 0.371907 | 1.83668  |
| w        |   21   | BHBlp |     0.4 | 4.17385  | 0.301659 | 0.196961 | 0.160422 |         0 | 1.52029 | 1.4581 |  5.3135 |  6.6199 |  9.5408 | 0.991783  |   0.311843 | 0.381414 | 1.89102  |
| s        |   33   | TM1   |     0.4 | 4.11269  | 0.685065 | 0.369007 | 0.275793 |         0 | 1.72822 | 1.5122 |  8.9325 | 11.3198 |  0.1198 | 1.2373    |   0.389473 | 0.346371 | 7        |
| s        |   25   | TM1   |     0.4 | 1.55206  | 1.16035  | 0.615355 | 0.376232 |         0 | 2.00944 | 1.6202 |  7.1307 |  8.364  |  4.1669 | 0.398576  |   0.419741 | 0.553646 | 6.49929  |
| s        |   34   | NL3   |     0.4 | 3.77109  | 0.86882  | 0.427123 | 0.296421 |         0 | 1.78568 | 1.529  | 10.2465 |  0      |  0      | 1.17091   |   0.39871  | 0.365912 | 7        |
| z        |   27   | NL3   |     0.4 | 4.08607  | 0.73058  | 0.374767 | 0.29588  |         0 | 1.73282 | 1.5398 |  7.8748 |  9.1979 | 17.8049 | 1.05936   |   0.389205 | 0.328234 | 7        |
| s        |   32   | TM1   |     0.4 | 4.25569  | 0.555043 | 0.328204 | 0.233285 |         0 | 1.66944 | 1.4809 |  8.3492 | 10.4413 |  1.5534 | 1.25526   |   0.371082 | 0.342291 | 7        |
